,Unnamed: 0,mmsi,sog,cog,longitude,latitude,heading,t
114,465,228397700.0,0.0,537.0,3.9895417,51.9498683,34.0,2022-08-31T10:35:16
115,396,226007760.0,0.0,3600.0,4.0454167,51.9613333,256.0,2022-08-31T10:34:09
116,515,220603000.0,0.0,2923.0,4.0349833,51.9630233,131.0,2022-08-31T10:35:52
117,659,219080000.0,0.0,3406.0,4.0519867,51.95858,84.0,2022-08-31T10:38:01
118,329,219029785.0,0.0,362.0,4.0024183,51.9693133,353.0,2022-08-31T10:33:12
119,473,218851000.0,0.0,2551.0,4.0583183,51.94871,258.0,2022-08-31T10:35:20
120,613,215079000.0,4.0,197.0,3.99015,51.9489233,33.0,2022-08-31T10:37:17
121,537,212905000.0,0.0,3000.0,4.05158,51.9615767,82.0,2022-08-31T10:36:15
122,656,212748000.0,1.0,200.0,4.0263333,51.9763333,292.0,2022-08-31T10:38:00
123,276,211781080.0,0.0,2431.0,4.0332283,51.96247,256.0,2022-08-31T10:32:28
124,653,211555200.0,0.0,40.0,4.0344683,51.937875,272.0,2022-08-31T10:37:56
125,584,211549500.0,0.0,0.0,4.0357917,51.9629767,132.0,2022-08-31T10:36:54
126,228,211504540.0,0.0,3600.0,4.0341517,51.9388583,256.0,2022-08-31T10:31:47
127,606,211483060.0,1.0,106.0,4.03451,51.9380633,273.0,2022-08-31T10:37:12
128,637,211138300.0,0.0,776.0,4.01029,51.9599467,175.0,2022-08-31T10:37:39
129,553,210210000.0,0.0,11.0,3.99472,51.9548633,33.0,2022-08-31T10:36:27
130,497,209719000.0,1.0,3530.0,4.0411217,51.957725,83.0,2022-08-31T10:35:44
131,622,209248000.0,0.0,2580.0,4.0710167,51.9504967,258.0,2022-08-31T10:37:21
132,476,205549290.0,0.0,3600.0,4.0517833,51.972025,256.0,2022-08-31T10:35:21
133,665,205540690.0,0.0,3600.0,3.9952483,51.9611733,256.0,2022-08-31T10:38:07
134,388,205433390.0,65.0,994.0,4.0850217,51.9395917,256.0,2022-08-31T10:34:02
135,237,205414190.0,0.0,0.0,4.0328983,51.9413983,256.0,2022-08-31T10:31:52
136,333,205366190.0,0.0,1876.0,4.0326067,51.9390333,256.0,2022-08-31T10:33:15
137,642,205319790.0,0.0,2627.0,4.075335,51.9511083,256.0,2022-08-31T10:37:46
138,580,205309890.0,0.0,3600.0,4.0484317,51.932685,256.0,2022-08-31T10:36:50
0,0,538003853.0,1.0,2370.0,32.4253833,30.3121,327.0,2021-11-30T03:00:06
